Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
F,0.65,0.505,0.165,1.16,0.4785,0.2739999999999999,0.349,11
I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
M,0.58,0.47,0.165,1.041,0.54,0.166,0.2789999999999999,9
I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
I,0.545,0.4,0.13,0.6859999999999999,0.3285,0.1455,0.18,9
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
F,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,12
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.0409999999999999,6
M,0.475,0.365,0.14,0.6175,0.2019999999999999,0.1445,0.19,16
M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10
F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
F,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8
M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11
M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
M,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42,18
M,0.59,0.455,0.155,0.8855,0.3879999999999999,0.188,0.275,10
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
I,0.38,0.3,0.09,0.2769999999999999,0.1655,0.0625,0.0819999999999999,6
I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7
M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
M,0.43,0.33,0.095,0.34,0.1315,0.085,0.1119999999999999,14
I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
M,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
I,0.32,0.235,0.065,0.1385,0.0579999999999999,0.0225,0.05,5
M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
I,0.47,0.375,0.105,0.4679999999999999,0.1665,0.108,0.17,10
M,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,9
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
F,0.605,0.475,0.175,1.0759999999999998,0.4629999999999999,0.2195,0.335,9
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
