species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,43.2,14.5,208,4450,FEMALE
Gentoo,Biscoe,43.8,13.9,208,4300,FEMALE
Adelie,Biscoe,42.2,19.5,197,4275,MALE
Adelie,Dream,36.2,17.3,187,3300,FEMALE
Gentoo,Biscoe,42.9,13.1,215,5000,FEMALE
Chinstrap,Dream,46.0,18.9,195,4150,FEMALE
Adelie,Biscoe,37.7,16.0,183,3075,FEMALE
Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE
Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE
Chinstrap,Dream,42.5,16.7,187,3350,FEMALE
Adelie,Torgersen,35.9,16.6,190,3050,FEMALE
Gentoo,Biscoe,49.4,15.8,216,4925,MALE
Chinstrap,Dream,58.0,17.8,181,3700,FEMALE
Adelie,Dream,36.5,18.0,182,3150,FEMALE
Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE
Gentoo,Biscoe,47.5,14.0,212,4875,FEMALE
Chinstrap,Dream,51.4,19.0,201,3950,MALE
Chinstrap,Dream,50.8,19.0,210,4100,MALE
Adelie,Torgersen,38.6,17.0,188,2900,FEMALE
Chinstrap,Dream,46.9,16.6,192,2700,FEMALE
Adelie,Biscoe,36.5,16.6,181,2850,FEMALE
Gentoo,Biscoe,49.1,14.8,220,5150,FEMALE
Gentoo,Biscoe,47.3,15.3,222,5250,MALE
Gentoo,Biscoe,46.4,15.6,221,5000,MALE
Adelie,Biscoe,37.9,18.6,193,2925,FEMALE
Adelie,Dream,37.2,18.1,178,3900,MALE
Adelie,Dream,39.0,18.7,185,3650,MALE
Adelie,Biscoe,41.4,18.6,191,3700,MALE
Chinstrap,Dream,46.6,17.8,193,3800,FEMALE
Adelie,Torgersen,37.3,20.5,199,3775,MALE
Gentoo,Biscoe,45.2,13.8,215,4750,FEMALE
Adelie,Torgersen,38.6,21.2,191,3800,MALE
Chinstrap,Dream,51.3,19.9,198,3700,MALE
Chinstrap,Dream,43.5,18.1,202,3400,FEMALE
Gentoo,Biscoe,51.3,14.2,218,5300,MALE
Gentoo,Biscoe,47.6,14.5,215,5400,MALE
Adelie,Dream,40.2,20.1,200,3975,MALE
Chinstrap,Dream,46.2,17.5,187,3650,FEMALE
Gentoo,Biscoe,41.7,14.7,210,4700,FEMALE
Adelie,Dream,38.9,18.8,190,3600,FEMALE
Adelie,Biscoe,37.7,18.7,180,3600,MALE
Adelie,Torgersen,34.4,18.4,184,3325,FEMALE
Adelie,Torgersen,41.1,18.6,189,3325,MALE
Adelie,Dream,38.1,18.6,190,3700,FEMALE
Adelie,Torgersen,36.2,17.2,187,3150,FEMALE
Gentoo,Biscoe,48.4,14.4,203,4625,FEMALE
Chinstrap,Dream,55.8,19.8,207,4000,MALE
Adelie,Torgersen,40.6,19.0,199,4000,MALE
Chinstrap,Dream,50.5,19.6,201,4050,MALE
Chinstrap,Dream,49.2,18.2,195,4400,MALE
